"File","Name","Hits","ExternalHits"
".\backend\src\expenses\expenses.service.ts","expenses.service","14","11"
".\backend\src\forensic-trail\forensic-trail.constants.ts","forensic-trail.constants","26","23"
".\backend\src\forensic-trail\forensic-trail.module.ts","forensic-trail.module","17","14"
".\backend\src\forensic-trail\forensic-trail.service.spec.ts","forensic-trail.service.spec","67","64"
".\backend\src\forensic-trail\forensic-trail.service.ts","forensic-trail.service","107","104"
".\backend\src\health\health.controller.ts","health.controller","12","9"
".\backend\src\health\health.module.ts","health.module","9","6"
".\backend\src\health\health.service.spec.ts","health.service.spec","4","1"
".\backend\src\health\health.service.ts","health.service","25","22"
".\backend\src\machines\machines.controller.ts","machines.controller","10","7"
".\backend\src\machines\machines.module.ts","machines.module","10","7"
".\backend\src\machines\machines.service.cache.spec.ts","machines.service.cache.spec","4","1"
".\backend\src\machines\machines.service.ts","machines.service","17","14"
".\backend\src\mail\mail.controller.spec.ts","mail.controller.spec","4","1"
".\backend\src\mail\mail.controller.ts","mail.controller","16","13"
".\backend\src\mail\mail.module.ts","mail.module","17","14"
".\backend\src\mail\mail.processor.ts","mail.processor","11","8"
".\backend\src\mail\mail.service.spec.ts","mail.service.spec","54","51"
".\backend\src\mail\mail.service.ts","mail.service","85","82"
".\backend\src\mail\mail.worker.module.ts","mail.worker.module","10","7"
".\backend\src\mail\mail-dlq.service.spec.ts","mail-dlq.service.spec","4","1"
".\backend\src\mail\mail-dlq.service.ts","mail-dlq.service","16","13"
".\backend\src\mail\mail-worker-sanitizer.service.spec.ts","mail-worker-sanitizer.service.spec","4","1"
".\backend\src\mail\mail-worker-sanitizer.service.ts","mail-worker-sanitizer.service","13","10"
".\backend\src\medical-exams\medical-exams.controller.spec.ts","medical-exams.controller.spec","4","1"
".\backend\src\medical-exams\medical-exams.controller.ts","medical-exams.controller","15","12"
".\backend\src\medical-exams\medical-exams.module.ts","medical-exams.module","11","8"
".\backend\src\medical-exams\medical-exams.service.pagination.spec.ts","medical-exams.service.pagination.spec","4","1"
".\backend\src\medical-exams\medical-exams.service.spec.ts","medical-exams.service.spec","4","1"
".\backend\src\medical-exams\medical-exams.service.ts","medical-exams.service","27","24"
".\backend\src\nonconformities\nonconformities.controller.spec.ts","nonconformities.controller.spec","4","1"
".\backend\src\nonconformities\nonconformities.controller.ts","nonconformities.controller","15","12"
".\backend\src\nonconformities\nonconformities.module.ts","nonconformities.module","13","10"
".\backend\src\nonconformities\nonconformities.service.spec.ts","nonconformities.service.spec","62","59"
".\backend\src\nonconformities\nonconformities.service.ts","nonconformities.service","83","80"
".\backend\src\notifications\notifications.controller.ts","notifications.controller","9","6"
".\backend\src\notifications\notifications.gateway.ts","notifications.gateway","12","9"
".\backend\src\notifications\notifications.module.ts","notifications.module","13","10"
".\backend\src\notifications\notifications.service.spec.ts","notifications.service.spec","14","11"
".\backend\src\notifications\notifications.service.ts","notifications.service","29","26"
".\backend\src\photographic-reports\photographic-reports.controller.ts","photographic-reports.controller","8","5"
".\backend\src\photographic-reports\photographic-reports.module.ts","photographic-reports.module","8","5"
".\backend\src\photographic-reports\photographic-reports.renderer.ts","photographic-reports.renderer","8","5"
".\backend\src\photographic-reports\photographic-reports.service.spec.ts","photographic-reports.service.spec","1","0"
".\backend\src\photographic-reports\photographic-reports.service.ts","photographic-reports.service","11","8"
".\backend\src\photographic-reports\photographic-reports.types.ts","photographic-reports.types","11","8"
".\backend\src\photographic-reports\photographic-reports.word.spec.ts","photographic-reports.word.spec","4","1"
".\backend\src\photographic-reports\photographic-reports.word.ts","photographic-reports.word","13","10"
".\backend\src\privacy-governance\offboarding-checklist.registry.ts","offboarding-checklist.registry","9","6"
".\backend\src\privacy-governance\privacy-governance.controller.ts","privacy-governance.controller","9","6"
".\backend\src\privacy-governance\privacy-governance.module.ts","privacy-governance.module","9","6"
".\backend\src\privacy-governance\privacy-governance.service.spec.ts","privacy-governance.service.spec","7","4"
".\backend\src\privacy-governance\privacy-governance.service.ts","privacy-governance.service","19","16"
".\backend\src\privacy-governance\privacy-governance-admin.controller.ts","privacy-governance-admin.controller","9","6"
".\backend\src\privacy-governance\retention-matrix.registry.ts","retention-matrix.registry","9","6"
".\backend\src\privacy-governance\subprocessors.registry.ts","subprocessors.registry","9","6"
".\backend\src\privacy-requests\privacy-requests.controller.spec.ts","privacy-requests.controller.spec","8","5"
".\backend\src\privacy-requests\privacy-requests.controller.ts","privacy-requests.controller","18","15"
".\backend\src\privacy-requests\privacy-requests.module.ts","privacy-requests.module","9","6"
".\backend\src\privacy-requests\privacy-requests.service.spec.ts","privacy-requests.service.spec","9","6"
